,Star_name,Distance,Mass,Radius
78,SDSS J074201.41+205520.5 [de],SDSS J074201.41+205520.5 [de],SDSS J074201.41+205520.5 [de],SDSS J074201.41+205520.5 [de]
79,2MASS J0746425+200032 [fr],2MASS J0746425+200032 [fr],2MASS J0746425+200032 [fr],2MASS J0746425+200032 [fr]
80,DENIS-P J0751164-253043 [de],DENIS-P J0751164-253043 [de],DENIS-P J0751164-253043 [de],DENIS-P J0751164-253043 [de]
81,2MASS J07522390+1612157,2MASS J07522390+1612157,2MASS J07522390+1612157,2MASS J07522390+1612157
82,DENIS J081730.0-615520,DENIS J081730.0-615520,DENIS J081730.0-615520,DENIS J081730.0-615520
83,DENIS J082303.1−491201A,DENIS J082303.1−491201A,DENIS J082303.1−491201A,DENIS J082303.1−491201A
84,DENIS J082303.1−491201B,DENIS J082303.1−491201B,DENIS J082303.1−491201B,DENIS J082303.1−491201B
85,2MASS J08251968+2115521 [de],2MASS J08251968+2115521 [de],2MASS J08251968+2115521 [de],2MASS J08251968+2115521 [de]
86,SDSSp J083008.12+482847.4 [de],SDSSp J083008.12+482847.4 [de],SDSSp J083008.12+482847.4 [de],SDSSp J083008.12+482847.4 [de]
87,LHS 2021,LHS 2021,LHS 2021,LHS 2021
88,SDSS J083048.80+012831.1 [de],SDSS J083048.80+012831.1 [de],SDSS J083048.80+012831.1 [de],SDSS J083048.80+012831.1 [de]
89,2MASSI J0835425-081923 [de],2MASSI J0835425-081923 [de],2MASSI J0835425-081923 [de],2MASSI J0835425-081923 [de]
90,2MASSI J0847287-153237 [de],2MASSI J0847287-153237 [de],2MASSI J0847287-153237 [de],2MASSI J0847287-153237 [de]
91,2MASS J08533619-0329321,2MASS J08533619-0329321,2MASS J08533619-0329321,2MASS J08533619-0329321
92,2MASSI J0859254-194926 [de],2MASSI J0859254-194926 [de],2MASSI J0859254-194926 [de],2MASSI J0859254-194926 [de]
93,2MASSW J0920122+351742 [de],2MASSW J0920122+351742 [de],2MASSW J0920122+351742 [de],2MASSW J0920122+351742 [de]
94,2MASSI J0937347+293142,2MASSI J0937347+293142,2MASSI J0937347+293142,2MASSI J0937347+293142
95,2MASS 0939−2448,2MASS 0939−2448,2MASS 0939−2448,2MASS 0939−2448
96,2MASS J09490860-1545485 [de],2MASS J09490860-1545485 [de],2MASS J09490860-1545485 [de],2MASS J09490860-1545485 [de]
97,2MASS J10073369-4555147,2MASS J10073369-4555147,2MASS J10073369-4555147,2MASS J10073369-4555147
98,2MASSI J1010148-040649 [de],2MASSI J1010148-040649 [de],2MASSI J1010148-040649 [de],2MASSI J1010148-040649 [de]
99,2MASSI J1017075+130839 [de],2MASSI J1017075+130839 [de],2MASSI J1017075+130839 [de],2MASSI J1017075+130839 [de]
100,SDSS J102109.69-030420.1,SDSS J102109.69-030420.1,SDSS J102109.69-030420.1,SDSS J102109.69-030420.1
101,2MASS J10224821+5825453 [de],2MASS J10224821+5825453 [de],2MASS J10224821+5825453 [de],2MASS J10224821+5825453 [de]
102,2MASSW J1036530-344138 [de],2MASSW J1036530-344138 [de],2MASSW J1036530-344138 [de],2MASSW J1036530-344138 [de]
103,2MASS J1047538+212423 [de],2MASS J1047538+212423 [de],2MASS J1047538+212423 [de],2MASS J1047538+212423 [de]
104,DEN 1048-3956,DEN 1048-3956,DEN 1048-3956,DEN 1048-3956
105,Luhman 16B,Luhman 16B,Luhman 16B,Luhman 16B
106,Luhman 16A,Luhman 16A,Luhman 16A,Luhman 16A
107,DENIS-P J1058.7−1548,DENIS-P J1058.7−1548,DENIS-P J1058.7−1548,DENIS-P J1058.7−1548
108,TWA 28,TWA 28,TWA 28,TWA 28
109,Cha 110913-773444,Cha 110913-773444,Cha 110913-773444,Cha 110913-773444
110,OTS 44,OTS 44,OTS 44,OTS 44
111,SDSS J111010.01+011613.1,SDSS J111010.01+011613.1,SDSS J111010.01+011613.1,SDSS J111010.01+011613.1
112,2MASS J11145133−2618235,2MASS J11145133−2618235,2MASS J11145133−2618235,2MASS J11145133−2618235
113,TWA 26,TWA 26,TWA 26,TWA 26
114,2MASSW J1146345+223053,2MASSW J1146345+223053,2MASSW J1146345+223053,2MASSW J1146345+223053
115,2MASS J11544223-3400390 [de],2MASS J11544223-3400390 [de],2MASS J11544223-3400390 [de],2MASS J11544223-3400390 [de]
116,2MASSW J1155395-372735 [de],2MASSW J1155395-372735 [de],2MASSW J1155395-372735 [de],2MASSW J1155395-372735 [de]
117,TWA 27A,TWA 27A,TWA 27A,TWA 27A
118,TWA 27B,TWA 27B,TWA 27B,TWA 27B
119,2MASS J12074836-3900043,2MASS J12074836-3900043,2MASS J12074836-3900043,2MASS J12074836-3900043
120,2MASSI J1217110-031113 [de],2MASSI J1217110-031113 [de],2MASSI J1217110-031113 [de],2MASSI J1217110-031113 [de]
121,2MASS J12255432-2739466,2MASS J12255432-2739466,2MASS J12255432-2739466,2MASS J12255432-2739466
122,DENIS-P J1228.2-1547,DENIS-P J1228.2-1547,DENIS-P J1228.2-1547,DENIS-P J1228.2-1547
123,2M 1237+6526,2M 1237+6526,2M 1237+6526,2M 1237+6526
124,2MASSW J1239272+551537 [de],2MASSW J1239272+551537 [de],2MASSW J1239272+551537 [de],2MASSW J1239272+551537 [de]
125,TWA 29,TWA 29,TWA 29,TWA 29
126,SDSSp J125453.90-012247.4 [de],SDSSp J125453.90-012247.4 [de],SDSSp J125453.90-012247.4 [de],SDSSp J125453.90-012247.4 [de]
127,Kelu-1A,Kelu-1A,Kelu-1A,Kelu-1A
128,Kelu-1B,Kelu-1B,Kelu-1B,Kelu-1B
129,2MASS J13204427+0409045,2MASS J13204427+0409045,2MASS J13204427+0409045,2MASS J13204427+0409045
130,SDSSp J132629.82-003831.5 [de],SDSSp J132629.82-003831.5 [de],SDSSp J132629.82-003831.5 [de],SDSSp J132629.82-003831.5 [de]
131,SDSSp J134646.45-003150.4 [de],SDSSp J134646.45-003150.4 [de],SDSSp J134646.45-003150.4 [de],SDSSp J134646.45-003150.4 [de]
132,2MASS J13595510-4034582,2MASS J13595510-4034582,2MASS J13595510-4034582,2MASS J13595510-4034582
133,ULAS J141623.94+134836.3,ULAS J141623.94+134836.3,ULAS J141623.94+134836.3,ULAS J141623.94+134836.3
134,SDSS J141659.78+500626.4 [de],SDSS J141659.78+500626.4 [de],SDSS J141659.78+500626.4 [de],SDSS J141659.78+500626.4 [de]
135,DENIS-P J142527.97-365023.4 [de],DENIS-P J142527.97-365023.4 [de],DENIS-P J142527.97-365023.4 [de],DENIS-P J142527.97-365023.4 [de]
136,LHS 2924,LHS 2924,LHS 2924,LHS 2924
137,2MASS J14392837+1929150,2MASS J14392837+1929150,2MASS J14392837+1929150,2MASS J14392837+1929150
138,LSPM J1440+1339,LSPM J1440+1339,LSPM J1440+1339,LSPM J1440+1339
139,2MASS J14482563+1031590 [de],2MASS J14482563+1031590 [de],2MASS J14482563+1031590 [de],2MASS J14482563+1031590 [de]
140,CFBDSIR 1458+10A,CFBDSIR 1458+10A,CFBDSIR 1458+10A,CFBDSIR 1458+10A
141,CFBDSIR 1458+10B,CFBDSIR 1458+10B,CFBDSIR 1458+10B,CFBDSIR 1458+10B
142,TVLM 513-46546,TVLM 513-46546,TVLM 513-46546,TVLM 513-46546
143,2MASS 1503+2525,2MASS 1503+2525,2MASS 1503+2525,2MASS 1503+2525
144,CFBDS J150411+102717,CFBDS J150411+102717,CFBDS J150411+102717,CFBDS J150411+102717
145,2MASSW J1506544+132106 [de],2MASSW J1506544+132106 [de],2MASSW J1506544+132106 [de],2MASSW J1506544+132106 [de]
146,2MASS 1507−1627,2MASS 1507−1627,2MASS 1507−1627,2MASS 1507−1627
147,TVLM 868-110639,TVLM 868-110639,TVLM 868-110639,TVLM 868-110639
148,SDSS J151114.66+060742.9 [de],SDSS J151114.66+060742.9 [de],SDSS J151114.66+060742.9 [de],SDSS J151114.66+060742.9 [de]
149,2MASSW J1515008+484742 [de],2MASSW J1515008+484742 [de],2MASSW J1515008+484742 [de],2MASSW J1515008+484742 [de]
